h5_num	sample	tx	weeks	celltype	subtype	n_cells	total_umis	prnp_umis	malat1_umis	rnaseh1_umis	subtype_fct	txc	prnp_rpm	total_umis_pseudocount	fit_resid	color	x	y	point_estimate	model
1	f2-acsf-fc	acsf	13	glia	astrocyte	483	3321533	619	NA	161	astrocyte	_ctl	186.35973208756317	3321533	0.12488266972158583	#A9A9A9	3	7	1.1330155082427225	13-aso7
1	f2-acsf-fc	acsf	13	glia	microglia	148	539610	70	NA	20	microglia	_ctl	129.7233186931302	539610	0.09094933619038104	#A9A9A9	6	4	1.0952135161637577	13-aso7
1	f2-acsf-fc	acsf	13	glia	oligodendrocyte	2454	12281128	2930	NA	510	oligodendrocyte	_ctl	238.5774336038188	12281128	0.2116802718602533	#A9A9A9	4	6	1.2357527169913005	13-aso7
1	f2-acsf-fc	acsf	13	glia	OPC	185	1223710	94	NA	39	OPC	_ctl	76.81558539196378	1223710	0.360520227189529	#A9A9A9	5	5	1.4340752654824895	13-aso7
1	f2-acsf-fc	acsf	13	neuron	excitatory	540	13267978	1611	NA	478	excitatory	_ctl	121.42015912296509	13267978	0.38444721474450844	#A9A9A9	1	9	1.4688021648077794	13-aso7
1	f2-acsf-fc	acsf	13	neuron	inhibitory	173	2895105	478	NA	112	inhibitory	_ctl	165.10627421112534	2895105	0.28142687078672346	#A9A9A9	2	8	1.325019095174406	13-aso7
1	f2-acsf-fc	acsf	13	other	endothelial stalk	54	288750	22	NA	4	endothelial stalk	_ctl	76.19047619047619	288750	0.12983532450432983	#A9A9A9	7	3	1.138640861636652	13-aso7
1	f2-acsf-fc	acsf	13	other	macrophage	3	9662	1	NA	0	macrophage	_ctl	103.49824052991099	9662	1.0636274078016488	#A9A9A9	9	1	2.8968600464554934	13-aso7
1	f2-acsf-fc	acsf	13	other	pericyte/fibroblast	7	40691	2	NA	2	pericyte/fibroblast	_ctl	49.15091789339166	40691	-0.06582947322960038	#A9A9A9	8	2	0.9362905132764039	13-aso7
2	m1-acsf-fc_2	acsf	13	glia	astrocyte	1091	6189136	1011	NA	278	astrocyte	_ctl	163.35074879595473	6189136	-0.014001445761488476	#A9A9A9	3	7	0.9860961186020392	13-aso7
2	m1-acsf-fc_2	acsf	13	glia	microglia	405	1087738	118	NA	60	microglia	_ctl	108.48200577712647	1087738	-0.08768621259899542	#A9A9A9	6	4	0.9160482760375581	13-aso7
2	m1-acsf-fc_2	acsf	13	glia	oligodendrocyte	2776	10498120	1700	NA	482	oligodendrocyte	_ctl	161.93375575817385	10498120	-0.17757545532891705	#A9A9A9	4	6	0.837297818369827	13-aso7
