h5_num	sample	tx	weeks	celltype	subtype	n_cells	total_umis	prnp_umis	malat1_umis	rnaseh1_umis	subtype_fct	txc	prnp_rpm	total_umis_pseudocount	fit_resid	color	x	y	point_estimate	model
1	pbs0_02wk_ss_a1	pbs0	2	glia	astrocyte	471	2027096	1491	389088	29	astrocyte	_ctl	735.5349721966794	2027096	0.22005400109961679	#A9A9A9	3	7	1.246144021917926	2-aso1
1	pbs0_02wk_ss_a1	pbs0	2	glia	microglia	55	206388	25	26449	1	microglia	_ctl	121.13107351202589	206388	-0.09506965165868195	#A9A9A9	6	4	0.9093095973407789	2-aso1
1	pbs0_02wk_ss_a1	pbs0	2	glia	oligodendrocyte	110	350529	132	57654	6	oligodendrocyte	_ctl	376.57369290415346	350529	0.19784083621504067	#A9A9A9	4	6	1.2187683945925543	2-aso1
1	pbs0_02wk_ss_a1	pbs0	2	glia	OPC	56	229271	49	25796	3	OPC	_ctl	213.72088053002778	229271	0.27688882586119556	#A9A9A9	5	5	1.3190197220016604	2-aso1
1	pbs0_02wk_ss_a1	pbs0	2	neuron	excitatory	4536	49340775	9449	8014311	736	excitatory	_ctl	191.50489630533772	49340775	0.23338444445692333	#A9A9A9	1	9	1.2628668881899061	2-aso1
1	pbs0_02wk_ss_a1	pbs0	2	neuron	inhibitory	647	5974841	707	738559	84	inhibitory	_ctl	118.32950868483363	5974841	0.17009197865015396	#A9A9A9	2	8	1.185413879074647	2-aso1
1	pbs0_02wk_ss_a1	pbs0	2	other	endothelial stalk	47	178192	44	18404	3	endothelial stalk	_ctl	246.92466552931668	178192	0.30167607116122624	#A9A9A9	7	3	1.3521231640763345	2-aso1
1	pbs0_02wk_ss_a1	pbs0	2	other	fibroblast	71	266548	31	44830	6	fibroblast	_ctl	116.30175428065489	266548	-0.087786933773256	#A9A9A9	9	1	0.9159560152259029	2-aso1
1	pbs0_02wk_ss_a1	pbs0	2	other	pericyte	21	39490	3	7082	2	pericyte	_ctl	75.96859964547987	39490	-0.2228548998281814	#A9A9A9	8	2	0.8002309545199018	2-aso1
2	pbs0_02wk_ss_a4	pbs0	2	glia	astrocyte	455	1995791	1461	309983	25	astrocyte	_ctl	732.0405793993459	1995791	0.21425774657066193	#A9A9A9	3	7	1.2389419466814964	2-aso1
2	pbs0_02wk_ss_a4	pbs0	2	glia	microglia	40	133953	31	14907	4	microglia	_ctl	231.42445484610275	133953	0.7288958684725252	#A9A9A9	6	4	2.072790710159794	2-aso1
2	pbs0_02wk_ss_a4	pbs0	2	glia	oligodendrocyte	346	1190432	428	163351	35	oligodendrocyte	_ctl	359.533345877799	1190432	0.14363730602675928	#A9A9A9	4	6	1.1544653149705002	2-aso1
