sample	species	tx	weeks	reg	sex	animal_short
pbs0_02wk_ss_a1	mouse	pbs0	2	ss	f	a1_02wk
pbs0_02wk_ss_a4	mouse	pbs0	2	ss	f	a4_02wk
aso1_02wk_ss_b1	mouse	aso1	2	ss	f	b1_02wk
aso6_02wk_ss_c1	mouse	aso6	2	ss	f	c1_02wk
pbs0_12wk_ss_a1	mouse	pbs0	12	ss	f	a1_12wk
pbs0_12wk_ss_a4	mouse	pbs0	12	ss	f	a4_12wk
aso1_12wk_ss_b1	mouse	aso1	12	ss	f	b1_12wk
aso6_12wk_ss_c1	mouse	aso6	12	ss	f	c1_12wk
pbs0_02wk_ss_a2	mouse	pbs0	2	ss	f	a2_02wk
aso1_02wk_ss_b2	mouse	aso1	2	ss	f	b2_02wk
aso1_02wk_ss_b4	mouse	aso1	2	ss	f	b4_02wk
aso6_02wk_ss_c2	mouse	aso6	2	ss	f	c2_02wk
aso1_12wk_ss_b2	mouse	aso1	12	ss	f	b2_12wk
aso1_12wk_ss_b4	mouse	aso1	12	ss	f	b4_12wk
aso6_12wk_ss_c2	mouse	aso6	12	ss	f	c2_12wk
pbs0_02wk_ss_a3	mouse	pbs0	2	ss	f	a3_02wk
aso1_02wk_ss_b3	mouse	aso1	2	ss	f	b3_02wk
aso6_02wk_ss_c3	mouse	aso6	2	ss	f	c3_02wk
aso6_02wk_ss_c4	mouse	aso6	2	ss	f	c4_02wk
pbs0_12wk_ss_a3	mouse	pbs0	12	ss	f	a3_12wk
aso1_12wk_ss_b3	mouse	aso1	12	ss	f	b3_12wk
aso6_12wk_ss_c3	mouse	aso6	12	ss	f	c3_12wk
aso6_12wk_ss_c4	mouse	aso6	12	ss	f	c4_12wk
pbs0_12wk_cb_a2	mouse	pbs0	12	cb	f	a2_12wk
pbs0_12wk_cb_a4	mouse	pbs0	12	cb	f	a4_12wk
asom_12wk_cb_b4	mouse	asom	12	cb	f	b4_12wk
aso6_12wk_cb_c4	mouse	aso6	12	cb	f	c4_12wk
pbs0_12wk_ss_a2	mouse	pbs0	12	ss	f	a2_12wk
f2-acsf-fc	cyno	acsf	13	fc	f	f2
f2-acsf-cb	cyno	acsf	13	cb	f	f2
asom-12wk_cb_b1	mouse	asom	12	cb	f	b1_12wk
pbs0_12wk_cb_a1	mouse	pbs0	12	cb	f	a1_12wk
pbs0_12wk_cb_a3	mouse	pbs0	12	cb	f	a3_12wk
asom_12wk_cb_b2	mouse	asom	12	cb	f	b2_12wk
asom_12wk_cb_b3	mouse	asom	12	cb	f	b3_12wk
aso6_12wk_cb_c1	mouse	aso6	12	cb	f	c1_12wk
aso6_12wk_cb_c2	mouse	aso6	12	cb	f	c2_12wk
aso6_12wk_cb_c3	mouse	aso6	12	cb	f	c3_12wk
m1-acsf-fc_2	cyno	acsf	13	fc	m	m1
m2-acsf-fc_2	cyno	acsf	13	fc	m	m2
f1-acsf-fc_2	cyno	acsf	13	fc	f	f1
m3-aso7-fc_2	cyno	aso7	13	fc	m	m3
m4-aso7-fc_2	cyno	aso7	13	fc	m	m4
f3-aso7-fc_2	cyno	aso7	13	fc	f	f3
f4-aso7-fc_2	cyno	aso7	13	fc	f	f4
m1-acsf-cb_2	cyno	acsf	13	cb	m	m1
m2-acsf-cb_2	cyno	acsf	13	cb	m	m2
f1-acsf-cb_2	cyno	acsf	13	cb	f	f1
m3-aso7-cb_2	cyno	aso7	13	cb	m	m3
m4-aso7-cb_2	cyno	aso7	13	cb	m	m4
f3-aso7-cb_2	cyno	aso7	13	cb	f	f3
f4-aso7-cb_2	cyno	aso7	13	cb	f	f4
pbs0_03wk_ss_13	mouse	pbs0	3	ss	f	b13
aso6_03wk_ss_41	mouse	aso6	3	ss	f	b41
pbs0_03wk_ss_61	mouse	pbs0	3	ss	f	b61
pbs0_03wk_ss_62	mouse	pbs0	3	ss	f	b62
aso6_03wk_ss_65	mouse	aso6	3	ss	f	b65
pbs0_03wk_ss_01	mouse	pbs0	3	ss	f	b01
pbs0_03wk_ss_02	mouse	pbs0	3	ss	f	b02
pbs0_03wk_ss_21	mouse	pbs0	3	ss	f	b21
aso6_03wk_ss_42	mouse	aso6	3	ss	f	b42
aso6_03wk_ss_63	mouse	aso6	3	ss	f	b63
pbs0_03wk_ss_12	mouse	pbs0	3	ss	f	b12
pbs0_03wk_th_02	mouse	pbs0	3	th	f	b02
pbs0_03wk_th_21	mouse	pbs0	3	th	f	b21
pbs0_03wk_th_61	mouse	pbs0	3	th	f	b61
pbs0_03wk_th_62	mouse	pbs0	3	th	f	b62
aso6_03wk_th_42	mouse	aso6	3	th	f	b42
aso6_03wk_th_63	mouse	aso6	3	th	f	b63
aso6_03wk_th_65	mouse	aso6	3	th	f	b65
pbs0_03wk_cb_02	mouse	pbs0	3	cb	f	b02
pbs0_03wk_cb_21	mouse	pbs0	3	cb	f	b21
pbs0_03wk_cb_61	mouse	pbs0	3	cb	f	b61
pbs0_03wk_cb_62	mouse	pbs0	3	cb	f	b62
aso6_03wk_cb_42	mouse	aso6	3	cb	f	b42
aso6_03wk_cb_63	mouse	aso6	3	cb	f	b63
aso6_03wk_cb_41	mouse	aso6	3	cb	f	b41
aso6_03wk_cb_65	mouse	aso6	3	cb	f	b65
