species	region	treatment	weeks	celltype	subtype	residual	l95	u95	total_cells
cyno	cerebellum	ASO N	13	glia	astrocyte	0.4617857379807757	0.3435109430018725	0.6207839143025123	2149
cyno	cerebellum	ASO N	13	glia	Bergmann glia	0.6142818760830051	0.4541019540341136	0.8309636634061022	3247
cyno	cerebellum	ASO N	13	other	endothelial stalk	0.44615955398076934	0.30707208645612005	0.6482463121465262	968
cyno	cerebellum	ASO N	13	neuron	Golgi	0.5372947907186337	0.3702166760693392	0.7797749555703739	333
cyno	cerebellum	ASO N	13	neuron	granule	0.5724499227060466	0.43617853139799734	0.7512953765877696	44398
cyno	cerebellum	ASO N	13	glia	microglia	0.40252693083298025	0.26753670203908786	0.6056287933987695	538
cyno	cerebellum	ASO N	13	neuron	MLI	0.32374017316901893	0.24567072132652032	0.4266186021581576	5656
cyno	cerebellum	ASO N	13	glia	oligodendrocyte	0.48492251403920383	0.3594856321975711	0.6541286314688228	1683
cyno	cerebellum	ASO N	13	glia	OPC	0.4619035053130862	0.3162352699656425	0.6746712605576736	816
cyno	cerebellum	ASO N	13	other	pericyte/fibroblast	0.6974208413642358	0.446009046992778	1.0905514882460994	680
cyno	cerebellum	ASO N	13	neuron	Purkinje	0.2006554555654834	0.13863658119861658	0.2904183838067225	249
cyno	cerebellum	ASO N	13	neuron	UBC	0.6287712867413681	0.37382671380753735	1.057584480797542	138
cyno	cortex	ASO N	13	glia	astrocyte	0.5575109558453818	0.4062622686039878	0.7650685035449546	9755
cyno	cortex	ASO N	13	other	endothelial stalk	0.7839351697236844	0.5267582729571298	1.1666724223991776	1652
cyno	cortex	ASO N	13	neuron	excitatory	0.3201412444300458	0.23399315434983303	0.438006046245222	26698
cyno	cortex	ASO N	13	neuron	inhibitory	0.29475381896556074	0.21483547359253455	0.40440162111943506	9567
cyno	cortex	ASO N	13	other	macrophage	0.5202418867093362	0.12294771329782514	2.201355465890373	1277
cyno	cortex	ASO N	13	glia	microglia	0.5402381577591212	0.3464975551341217	0.8423068583730626	1631
cyno	cortex	ASO N	13	glia	oligodendrocyte	0.3628701240926366	0.26209142432954663	0.5023999823566958	9799
cyno	cortex	ASO N	13	glia	OPC	0.32908191894202593	0.2291825574533517	0.47252683876960705	3166
cyno	cortex	ASO N	13	other	pericyte/fibroblast	0.65457067995390394	0.3608195936996096	1.1874709204734069	692
mouse	cerebellum	ASO 6	3	glia	astrocyte	0.4599210485607138	0.3435125489362843	0.615777710491797	1509
mouse	cerebellum	ASO 6	3	glia	Bergmann glia	0.4392110096182024	0.32753299531340024	0.5889675658028226	1854
mouse	cerebellum	ASO 6	3	other	endothelial stalk	0.7642417196547493	0.4951983114394838	1.1794575881388578	221
