animal_id_short	sex	region	y	ason_ug_g	dilution_factor	lloq_ug_g
m3	M	cerebellum	2	14.8	50	1
m3	M	cervical spinal cord	6	9.3	25	0.5
m3	M	frontal cortex	5	13.2	50	1
m3	M	hippocampus	3	28.8	50	1
m3	M	kidney cortex	10	302	200	4
m3	M	liver	9	43.7	200	4
m3	M	lumbar spinal cord	8	28.4	100	2
m3	M	pons	1	10.1	25	0.5
m3	M	temporal cortex	4	16.6	50	1
m3	M	thoracic spinal cord	7	9.91	50	1
m4	M	cerebellum	2	16.7	50,50	1.00, 1.00
m4	M	cervical spinal cord	6	10.6	10	0.2
m4	M	frontal cortex	5	27.4	50	1
m4	M	hippocampus	3	14.5	50	1
m4	M	kidney cortex	10	182	200	4
m4	M	liver	9	37.8	200	4
m4	M	lumbar spinal cord	8	23.5	100	2
m4	M	pons	1	9.05	25	0.5
m4	M	temporal cortex	4	10.9	50	1
m4	M	thoracic spinal cord	7	19	50	1
f3	F	cerebellum	2		50,20	1.00, 0.400
f3	F	cervical spinal cord	6	5.32	50	1
f3	F	frontal cortex	5	26.1	50	1
f3	F	hippocampus	3	10.7	50	1
f3	F	kidney cortex	10	229	200	4
f3	F	liver	9	83.3	200	4
f3	F	lumbar spinal cord	8	26.3	100	2
f3	F	pons	1	6.12	25	0.5
f3	F	temporal cortex	4	17.5	50	1
f3	F	thoracic spinal cord	7	11.5	50	1
f4	F	cerebellum	2	17.8	50	1
f4	F	cervical spinal cord	6	10.3	50	1
f4	F	frontal cortex	5	18.7	50	1
f4	F	hippocampus	3	14.9	50	1
f4	F	kidney cortex	10	236	200	4
f4	F	liver	9	63.7	200	4
f4	F	lumbar spinal cord	8	37.9	100	2
f4	F	pons	1	11.2	25	0.5
f4	F	temporal cortex	4	19.1	50	1
f4	F	thoracic spinal cord	7	10.6	50	1
