y	region	n	mean	l95	u95	max_lloq
1	pons	4	9.1175	6.978557874570475	11.256442125429524	0.5
2	cerebellum	3	16.433333333333334	14.715955472530016	18.15071119413665	1
3	hippocampus	4	17.225	9.43866430638365	25.011335693616353	1
4	temporal cortex	4	16.025000000000002	12.526793708816802	19.5232062911832	1
5	frontal cortex	4	21.35	14.83453215921113	27.865467840788874	1
6	cervical spinal cord	4	8.88	6.491254946157073	11.268745053842927	1
7	thoracic spinal cord	4	12.7525	8.6213179434021	16.883682056597898	1
8	lumbar spinal cord	4	29.025	22.9022035334849	35.147796466515096	2
9	liver	4	57.125	36.866395495938335	77.38360450406167	4
10	kidney cortex	4	237.25	188.85982287292842	285.6401771270716	4
