aggr	species	region	weeks	treatment	subtype	subtype_residual	overall_residual	difference	difference_l95	difference_u95
mouse_cortex_full	mouse	cortex	2	ASO 6	excitatory	0.3535485465457782	0.43505370545869915	-0.08150515891292093	-0.16864874866501073	0.034143926105766165
mouse_cortex_full	mouse	cortex	3	ASO 6	excitatory	0.5894460905817603	0.585767006568584	0.0036790840131762925	-0.07018827324353927	0.08812947372528845
mouse_cortex_full	mouse	cortex	12	ASO 6	excitatory	0.6460359144594406	0.5716638686020034	0.07437204585743729	-0.015432373967847912	0.1786755256927286
mouse_cortex_full	mouse	cortex	2	ASO 1	excitatory	0.48870477343592394	0.4602397001408997	0.028465073295024235	-0.11603497771289495	0.23362746674264862
mouse_cortex_full	mouse	cortex	12	ASO 1	excitatory	0.7737829465416989	0.7663921722352955	0.007390774306403336	-0.14407568406087123	0.19572286044713805
cyno_cortex_full	cyno	cortex	13	ASO N	excitatory	0.3201412444300458	0.3058257298896513	0.014315514540394536	-0.07183257553981826	0.1321803163555707
mouse_thalamus_full	mouse	thalamus	3	ASO 6	excitatory	0.5134663243167904	0.4589927849334934	0.05447353938329702	-0.10500199936799487	0.28579402014172783
mouse_cortex_full	mouse	cortex	2	ASO 6	inhibitory	0.4034751831450013	0.43505370545869915	-0.03157852231369784	-0.13484005086515477	0.10720085532833334
mouse_cortex_full	mouse	cortex	3	ASO 6	inhibitory	0.6298043252366851	0.585767006568584	0.04403731866810101	-0.040483713459709914	0.14165943964684824
mouse_cortex_full	mouse	cortex	12	ASO 6	inhibitory	0.5703964045096395	0.5716638686020034	-0.0012674640923638902	-0.08649817439801477	0.09893601544653707
mouse_cortex_full	mouse	cortex	2	ASO 1	inhibitory	0.47079177409339656	0.4602397001408997	0.010552073952496854	-0.13036526332943582	0.21166715234638916
mouse_cortex_full	mouse	cortex	12	ASO 1	inhibitory	0.8651936891584686	0.7663921722352955	0.09880151692317307	-0.07455159689543733	0.31559137490187505
cyno_cortex_full	cyno	cortex	13	ASO N	inhibitory	0.29475381896556074	0.3058257298896513	-0.011071910924090544	-0.09099025629711674	0.09857589122978377
mouse_thalamus_full	mouse	thalamus	3	ASO 6	inhibitory	0.548283300826983	0.4589927849334934	0.08929051589348957	-0.08515079429711175	0.3451292385288881
mouse_cerebellum_full	mouse	cerebellum	12	Malat1 ASO	Golgi	0.3962266401901338	0.4544045637562383	-0.05817792356610446	-0.15975987714749945	0.07842551101391204
mouse_cerebellum_full	mouse	cerebellum	3	ASO 6	Golgi	0.5158379021479608	0.5641520326102768	-0.04831413046231603	-0.20417444435732152	0.17502937749859182
mouse_cerebellum_full	mouse	cerebellum	12	ASO 6	Golgi	0.7944359133749898	0.8485806524125022	-0.05414473903751249	-0.21243046996175852	0.1435253594549416
cyno_cerebellum_full	cyno	cerebellum	13	ASO N	Golgi	0.5372947907186337	0.5312920081028193	0.006002782615814439	-0.16107533203348007	0.24848294746755462
mouse_cerebellum_full	mouse	cerebellum	12	Malat1 ASO	granule	0.5768009891856911	0.4544045637562383	0.12239642542945284	-0.02546014417483694	0.3212189574688815
mouse_cerebellum_full	mouse	cerebellum	3	ASO 6	granule	0.6166855733843617	0.5641520326102768	0.0525335407740849	-0.09731978890104015	0.25048984687666576
